,id_depto,grupo_etario,habitantes
255,58098,19-65,3120.0
256,58112,0-5,3426.0
257,62007,0-5,4517.0
258,62028,0-5,605.0
259,62035,12-18,796.0
260,62035,19-65,4178.0
261,62042,>65,37855.0
262,62049,0-5,274.0
263,62056,0-5,113.0
264,62063,12-18,1711.0
265,62063,19-65,9736.0
266,66007,6-11,8007.0
267,66021,>65,1526.0
268,66035,12-18,7225.0
269,66035,19-65,32633.0
270,66056,0-5,19509.0
271,66063,0-5,314.0
272,66077,6-11,1219.0
273,66084,12-18,884.0
274,66084,19-65,4169.0
275,66119,6-11,716.0
276,66133,6-11,5525.0
277,66140,6-11,3545.0
278,70014,12-18,1363.0
279,70014,19-65,5671.0
280,70021,12-18,1337.0
281,70021,19-65,6197.0
282,70028,12-18,10752.0
283,70028,19-65,69130.0
284,70049,>65,752.0
285,70077,0-5,11959.0
286,70084,0-5,8399.0
287,70105,6-11,3274.0
288,70119,12-18,939.0
289,70119,19-65,5037.0
290,74007,0-5,2003.0
291,74014,12-18,635.0
292,74014,19-65,3141.0
293,74028,6-11,2353.0
294,74035,0-5,11922.0
295,74049,>65,4873.0
296,78007,12-18,1783.0
297,78007,19-65,9237.0
298,78014,0-5,10716.0
299,78028,>65,1289.0
300,78042,12-18,1574.0
301,78042,19-65,7828.0
302,82007,0-5,3597.0
303,82021,12-18,20504.0
304,82021,19-65,115199.0
305,82049,>65,19382.0
306,82056,>65,10237.0
307,82070,6-11,10020.0
308,82091,12-18,8200.0
309,82091,19-65,43134.0
310,82098,6-11,3454.0
311,82105,>65,10415.0
312,82112,0-5,3766.0
313,82126,12-18,6928.0
314,82126,19-65,39995.0
315,86021,12-18,2228.0
316,86021,19-65,8086.0
317,86035,0-5,16118.0
318,86042,12-18,1252.0
319,86042,19-65,6561.0
320,86063,12-18,5329.0
321,86063,19-65,25704.0
322,86070,0-5,2127.0
323,86098,0-5,2152.0
324,86105,12-18,3035.0
325,86105,19-65,14216.0
326,86112,12-18,183.0
327,86112,19-65,864.0
328,86119,0-5,4608.0
329,86126,0-5,1392.0
330,86133,6-11,3051.0
331,86140,12-18,1575.0
332,86140,19-65,6907.0
333,86175,>65,971.0
334,90014,>65,16995.0
335,90035,12-18,1864.0
336,90035,19-65,9093.0
337,90056,12-18,7848.0
338,90056,19-65,39299.0
339,90070,12-18,9204.0
340,90070,19-65,46083.0
341,90077,0-5,5525.0
342,90084,12-18,59056.0
343,90084,19-65,364165.0
344,90091,12-18,4234.0
345,90091,19-65,21565.0
346,90119,>65,8762.0
347,02000,6-11,201989.0
348,06021,0-5,904.0
349,06028,12-18,68125.0
350,06028,19-65,354580.0
351,06035,6-11,31635.0
352,06056,6-11,29136.0
353,06077,>65,4014.0
354,06098,>65,10529.0
355,06112,0-5,3360.0
356,06119,6-11,3406.0
357,06126,>65,10756.0
358,06140,0-5,1180.0
359,06147,6-11,2127.0
360,06168,0-5,760.0
361,06182,0-5,4705.0
362,06210,0-5,3518.0
363,06218,12-18,4971.0
364,06218,19-65,24743.0
365,06231,0-5,1395.0
366,06238,12-18,3479.0
367,06238,19-65,18261.0
368,06266,12-18,4585.0
369,06266,19-65,24065.0
370,06270,6-11,21962.0
371,06274,0-5,44663.0
372,06277,12-18,1312.0
373,06277,19-65,6149.0
374,06322,12-18,1160.0
375,06322,19-65,6798.0
376,06357,>65,97137.0
377,06364,6-11,18024.0
378,06410,6-11,15026.0
379,06412,12-18,40098.0
380,06412,19-65,194421.0
381,06413,0-5,7543.0
382,06441,12-18,78431.0
383,06441,19-65,473830.0
384,06448,>65,1453.0
385,06466,12-18,663.0
386,06466,19-65,3688.0
387,06476,12-18,1897.0
388,06476,19-65,10725.0
389,06483,6-11,3961.0
390,06490,0-5,50825.0
391,06497,0-5,8352.0
392,06511,0-5,861.0
393,06518,6-11,3085.0
394,06532,12-18,7892.0
395,06532,19-65,42081.0
396,06547,12-18,2853.0
397,06547,19-65,14375.0
398,06568,6-11,24608.0
399,06588,12-18,5934.0
400,06588,19-65,30093.0
401,06595,6-11,11123.0
402,06602,0-5,2857.0
403,06616,12-18,722.0
404,06616,19-65,4048.0
405,06638,>65,27739.0
406,06644,6-11,3865.0
407,06648,>65,6190.0
408,06655,6-11,1193.0
409,06679,6-11,2000.0
410,06700,>65,3249.0
411,06721,0-5,653.0
412,06735,>65,3234.0
413,06742,0-5,615.0
414,06756,6-11,22338.0
415,06763,0-5,12727.0
416,06770,12-18,8280.0
417,06770,19-65,39877.0
418,06784,0-5,981.0
419,06791,0-5,9785.0
420,06798,12-18,1213.0
421,06798,19-65,6191.0
422,06805,>65,42525.0
423,06819,12-18,1436.0
424,06819,19-65,8649.0
425,06826,0-5,4016.0
426,06847,0-5,682.0
427,06854,12-18,3782.0
428,06854,19-65,20473.0
429,06861,>65,50466.0
430,06875,6-11,3167.0
431,10014,6-11,286.0
432,10021,>65,2092.0
433,10028,12-18,212.0
434,10028,19-65,1094.0
435,10035,6-11,2993.0
436,10049,0-5,14250.0
437,10063,>65,1281.0
438,10084,0-5,988.0
439,10098,6-11,1288.0
440,10112,>65,2700.0
441,14007,0-5,5902.0
442,14014,>65,166731.0
443,14035,>65,4435.0
444,14042,12-18,16119.0
445,14042,19-65,92413.0
446,14056,6-11,6415.0
447,14077,>65,751.0
448,14084,6-11,3515.0
