,Provincia,Departamento,Cant_EE,Cant_CC,Poblacion
480,Buenos Aires,MONTE HERMOSO,12.0,,8444.0
481,Catamarca,ANTOFAGASTA DE LA SIERRA,12.0,,1822.0
482,Chubut,LANGUIÑEO,12.0,,2862.0
483,La Pampa,TRENEL,12.0,,5637.0
484,Río Negro,ÑORQUINCO,12.0,,1452.0
485,San Juan,9 DE JULIO,12.0,,12498.0
486,Santa Cruz,LAGO BUENOS AIRES,12.0,,12584.0
487,La Rioja,VINCHINA,11.0,,2695.0
488,Salta,LA CANDELARIA,11.0,,7182.0
489,Salta,LA POMA,11.0,,1789.0
490,Buenos Aires,TORDILLO,10.0,,2528.0
491,Chubut,GASTRE,10.0,,1181.0
492,Neuquén,PICUN LEUFU,10.0,,5087.0
493,Corrientes,BERON DE ASTRADA,9.0,,2808.0
494,Neuquén,COLLON CURA,9.0,,4832.0
495,Santa Cruz,MAGALLANES,9.0,,12828.0
496,Santa Cruz,RIO CHICO,9.0,,6271.0
497,Chubut,TELSEN,8.0,,1608.0
498,Jujuy,SAN ANTONIO,8.0,,6729.0
499,Chubut,PASO DE INDIOS,7.0,,1882.0
500,La Pampa,CHICAL CO,7.0,,1461.0
501,La Pampa,CHALILEO,6.0,,2868.0
502,La Pampa,CURACO,6.0,,1103.0
503,La Rioja,GENERAL LAMADRID,6.0,,1885.0
504,San Juan,ULLUM,6.0,,6454.0
505,San Juan,ZONDA,6.0,,6674.0
506,La Pampa,CALEU CALEU,5.0,,2611.0
507,La Pampa,LIMAY MAHUIDA,4.0,,413.0
508,Chubut,FLORENTINO AMEGHINO,3.0,,1782.0
509,Chubut,MARTIRES,3.0,,744.0
510,La Pampa,LIHUEL CALEL,3.0,,428.0
511,La Rioja,SANAGASTA,3.0,,2994.0
512,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",ANTARTIDA ARGENTINA,1.0,,
513,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",ISLAS DEL ATLANTICO SUR,,,80009.0
514,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",RIO GRANDE,,,98922.0
515,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",TOLHUIN,,,6027.0
