,Provincia,Departamento,Jardines,Poblacion jardin,Primarias,Poblacion primaria,Secundarias,Poblacion secundaria
440,Santa Cruz,GUER AIKE,37.0,10573.0,39.0,14016.0,46.0,16107.0
441,Santa Cruz,DESEADO,37.0,10716.0,34.0,13790.0,45.0,15834.0
442,Santa Cruz,LAGO ARGENTINO,7.0,2180.0,8.0,2815.0,9.0,3093.0
443,Santa Cruz,CORPEN AIKE,5.0,1456.0,6.0,1663.0,6.0,1783.0
444,Santa Cruz,LAGO BUENOS AIRES,4.0,1298.0,4.0,1375.0,5.0,1415.0
445,Santa Cruz,MAGALLANES,4.0,1110.0,3.0,1489.0,3.0,1574.0
446,Santa Cruz,RIO CHICO,3.0,585.0,3.0,744.0,4.0,783.0
447,Santa Fe,ROSARIO,343.0,97904.0,331.0,117871.0,342.0,130364.0
448,Santa Fe,LA CAPITAL,194.0,42937.0,171.0,51558.0,175.0,59938.0
449,Santa Fe,GENERAL OBLIGADO,129.0,17202.0,80.0,19144.0,155.0,22348.0
450,Santa Fe,GENERAL LOPEZ,96.0,14884.0,70.0,17783.0,104.0,20506.0
451,Santa Fe,CASTELLANOS,126.0,15092.0,60.0,17526.0,124.0,20504.0
452,Santa Fe,SAN LORENZO,51.0,16356.0,51.0,19715.0,58.0,20824.0
453,Santa Fe,SAN CRISTOBAL,105.0,5906.0,49.0,7064.0,112.0,8200.0
454,Santa Fe,LAS COLONIAS,103.0,8519.0,49.0,10020.0,107.0,11909.0
455,Santa Fe,CONSTITUCION,40.0,6793.0,34.0,8043.0,45.0,9828.0
456,Santa Fe,VERA,87.0,4985.0,33.0,5622.0,92.0,6460.0
457,Santa Fe,CASEROS,28.0,5966.0,33.0,7096.0,37.0,8306.0
458,Santa Fe,SAN JERONIMO,53.0,6707.0,31.0,7813.0,64.0,8888.0
459,Santa Fe,IRIONDO,39.0,5742.0,27.0,6722.0,50.0,7235.0
460,Santa Fe,SAN MARTIN,47.0,5177.0,24.0,6077.0,53.0,6928.0
461,Santa Fe,SAN JUSTO,43.0,3766.0,21.0,4407.0,50.0,4999.0
462,Santa Fe,9 DE JULIO,61.0,2720.0,18.0,3104.0,77.0,3817.0
463,Santa Fe,SAN JAVIER,35.0,3076.0,17.0,3454.0,40.0,3561.0
464,Santa Fe,BELGRANO,17.0,3597.0,15.0,4246.0,28.0,4950.0
465,Santa Fe,GARAY,20.0,2349.0,11.0,2543.0,22.0,2615.0
466,Santiago del Estero,CAPITAL,143.0,26352.0,114.0,31921.0,113.0,35687.0
467,Santiago del Estero,BANDA,120.0,16118.0,71.0,18598.0,105.0,20112.0
468,Santiago del Estero,RIO HONDO,67.0,6377.0,49.0,7369.0,68.0,8056.0
469,Santiago del Estero,PELLEGRINI,51.0,2632.0,41.0,3051.0,72.0,3520.0
470,Santiago del Estero,FIGUEROA,54.0,2127.0,35.0,2373.0,70.0,2901.0
471,Santiago del Estero,CHOYA,40.0,3746.0,35.0,4467.0,48.0,5329.0
472,Santiago del Estero,LORETO,52.0,2243.0,33.0,2577.0,47.0,3035.0
473,Santiago del Estero,JIMENEZ,27.0,1847.0,33.0,1990.0,39.0,2441.0
474,Santiago del Estero,MORENO,46.0,4608.0,29.0,4781.0,72.0,6032.0
475,Santiago del Estero,AVELLANEDA,30.0,2758.0,28.0,3000.0,52.0,3758.0
476,Santiago del Estero,ROBLES,46.0,5435.0,27.0,6060.0,38.0,7095.0
477,Santiago del Estero,COPO,33.0,3908.0,23.0,4205.0,79.0,5128.0
478,Santiago del Estero,ALBERDI,36.0,2298.0,23.0,2442.0,58.0,2781.0
479,Santiago del Estero,SAN MARTIN,27.0,1183.0,21.0,1345.0,36.0,1737.0
480,Santiago del Estero,SALAVINA,28.0,1294.0,21.0,1443.0,38.0,1957.0
481,Santiago del Estero,JUAN F IBARRA,31.0,2152.0,19.0,2575.0,49.0,3014.0
482,Santiago del Estero,QUEBRACHOS,27.0,1286.0,16.0,1334.0,43.0,1575.0
483,Santiago del Estero,GUASAYAN,18.0,900.0,16.0,929.0,23.0,1107.0
484,Santiago del Estero,GENERAL TABOADA,44.0,4772.0,16.0,5109.0,52.0,6327.0
485,Santiago del Estero,ATAMISQUI,26.0,1520.0,15.0,1820.0,26.0,2228.0
486,Santiago del Estero,SILIPICA,14.0,861.0,14.0,1008.0,16.0,1241.0
487,Santiago del Estero,OJO DE AGUA,29.0,1392.0,11.0,1482.0,45.0,1865.0
488,Santiago del Estero,SARMIENTO,10.0,533.0,8.0,630.0,17.0,716.0
489,Santiago del Estero,BELGRANO,7.0,1033.0,6.0,1115.0,12.0,1252.0
490,Santiago del Estero,AGUIRRE,10.0,804.0,6.0,908.0,13.0,1097.0
491,Santiago del Estero,RIVADAVIA,12.0,487.0,5.0,561.0,16.0,627.0
492,Santiago del Estero,MITRE,5.0,112.0,4.0,120.0,10.0,183.0
493,Tucumán,CAPITAL,189.0,44089.0,179.0,51884.0,138.0,59056.0
494,Tucumán,CRUZ ALTA,89.0,21071.0,59.0,25245.0,76.0,28012.0
495,Tucumán,LEALES,73.0,5678.0,53.0,6760.0,73.0,7848.0
496,Tucumán,BURRUYACU,57.0,4330.0,46.0,5233.0,57.0,5743.0
497,Tucumán,TAFI VIEJO,55.0,15052.0,42.0,18682.0,49.0,20891.0
498,Tucumán,CHICLIGASTA,44.0,7651.0,35.0,9110.0,41.0,10586.0
499,Tucumán,SIMOCA,52.0,3132.0,34.0,3784.0,52.0,4234.0
500,Tucumán,YERBA BUENA,34.0,8420.0,29.0,10227.0,32.0,11669.0
501,Tucumán,MONTEROS,42.0,6523.0,29.0,7986.0,40.0,9204.0
502,Tucumán,RIO CHICO,30.0,5525.0,28.0,6593.0,30.0,7630.0
503,Tucumán,GRANEROS,30.0,1434.0,27.0,1629.0,30.0,1864.0
504,Tucumán,LULES,37.0,8542.0,25.0,10920.0,32.0,11725.0
505,Tucumán,TRANCAS,25.0,2185.0,20.0,2451.0,25.0,2881.0
506,Tucumán,FAMAILLA,24.0,4239.0,20.0,4753.0,23.0,5343.0
507,Tucumán,TAFI DEL VALLE,24.0,1828.0,15.0,2270.0,24.0,2471.0
508,Tucumán,LA COCHA,17.0,1894.0,14.0,2167.0,18.0,2672.0
509,Tucumán,JUAN B ALBERDI,19.0,2908.0,13.0,3478.0,19.0,4108.0
