,id,id_depto,jardin,primaria,secundaria
252,020029600,02000,0,0,1
253,020029700,02000,0,0,1
254,020029800,02000,0,0,1
255,020029900,02000,0,1,0
257,020030200,02000,0,0,1
258,020030300,02000,1,0,1
259,020030400,02000,0,0,1
260,020030500,02000,0,0,1
261,020030700,02000,1,1,1
262,020030900,02000,1,0,0
263,020030902,02000,1,0,0
265,020031100,02000,0,0,1
267,020031700,02000,0,1,0
268,020031900,02000,0,0,1
273,020032400,02000,0,0,1
274,020032500,02000,0,0,1
276,020032800,02000,0,0,1
277,020032900,02000,0,0,1
278,020033000,02000,0,0,1
279,020033100,02000,1,0,1
280,020033300,02000,0,0,1
281,020033400,02000,1,0,1
282,020033500,02000,1,0,1
283,020033600,02000,1,0,0
284,020033601,02000,1,0,0
285,020033602,02000,1,0,0
287,020034100,02000,0,0,1
288,020034200,02000,1,0,0
289,020034400,02000,1,0,0
290,020034401,02000,1,0,0
291,020034402,02000,1,0,0
292,020034403,02000,1,0,0
296,020034900,02000,0,0,1
297,020035000,02000,0,1,0
298,020035100,02000,0,0,1
299,020035200,02000,0,0,1
300,020035300,02000,1,0,0
301,020035400,02000,1,1,1
302,020035500,02000,1,0,1
303,020035600,02000,0,1,0
304,020035800,02000,0,0,1
305,020036100,02000,0,1,0
306,020036200,02000,0,0,1
307,020036300,02000,0,0,1
308,020036400,02000,0,1,0
310,020036600,02000,0,1,0
311,020036601,02000,0,1,0
312,020036800,02000,1,0,1
313,020037000,02000,0,0,1
315,020037200,02000,0,1,0
320,020037900,02000,1,0,0
321,020038000,02000,0,0,1
322,020038100,02000,1,0,0
323,020038200,02000,1,0,0
324,020038300,02000,0,1,0
327,020038600,02000,0,0,1
328,020038700,02000,1,1,1
336,020039800,02000,1,0,1
337,020039900,02000,0,0,1
338,020040000,02000,0,0,1
339,020040100,02000,0,1,0
340,020040200,02000,1,1,1
341,020040300,02000,1,0,1
342,020040400,02000,0,0,1
344,020040700,02000,1,1,1
347,020041000,02000,0,0,1
348,020041100,02000,1,1,1
349,020041200,02000,1,0,1
350,020041300,02000,0,0,1
351,020041400,02000,0,1,0
352,020041500,02000,1,1,1
354,020041700,02000,0,0,1
355,020041800,02000,0,0,1
356,020041900,02000,0,0,1
357,020042000,02000,1,1,1
358,020042100,02000,0,0,1
359,020042200,02000,1,1,1
361,020042400,02000,0,1,0
362,020042500,02000,1,0,1
363,020042600,02000,1,0,0
364,020042700,02000,1,0,0
365,020042800,02000,1,1,1
367,020043300,02000,0,0,1
369,020043700,02000,1,0,1
370,020043800,02000,0,0,1
371,020043900,02000,1,0,0
372,020044000,02000,1,0,1
373,020044100,02000,0,0,1
374,020044200,02000,1,0,0
375,020044400,02000,1,0,0
376,020044401,02000,1,0,0
377,020044402,02000,1,0,0
378,020044600,02000,1,0,1
379,020044700,02000,0,0,1
380,020045100,02000,0,1,0
383,020045500,02000,1,0,1
384,020045600,02000,1,0,1
385,020045700,02000,1,0,1
386,020045800,02000,0,1,0
388,020046000,02000,0,1,0
389,020046100,02000,0,0,1
390,020046200,02000,0,0,1
391,020046300,02000,0,0,1
392,020046400,02000,1,0,1
394,020046700,02000,1,0,0
395,020046702,02000,1,0,0
396,020046703,02000,1,0,0
398,020046900,02000,0,1,0
399,020047000,02000,0,0,1
400,020047200,02000,0,0,1
401,020047300,02000,0,0,1
402,020047400,02000,0,0,1
403,020047600,02000,0,0,1
404,020047700,02000,1,0,0
405,020047800,02000,0,1,0
406,020047900,02000,1,1,1
408,020048100,02000,0,0,1
409,020048300,02000,0,1,0
410,020048400,02000,0,0,1
411,020048500,02000,0,0,1
412,020048600,02000,1,1,1
413,020048700,02000,0,1,0
414,020048900,02000,0,0,1
415,020049000,02000,0,0,1
416,020049100,02000,0,0,1
417,020049200,02000,1,0,0
418,020049300,02000,1,1,1
419,020049400,02000,0,1,0
420,020049500,02000,0,0,1
421,020049600,02000,1,1,1
422,020049700,02000,0,0,1
424,020049900,02000,0,1,0
425,020050000,02000,0,1,0
426,020050200,02000,1,1,1
427,020050300,02000,1,1,1
428,020050400,02000,0,0,1
430,020050600,02000,0,1,0
431,020050800,02000,1,1,1
432,020050900,02000,0,1,0
433,020051100,02000,1,1,1
434,020051200,02000,1,1,1
435,020051300,02000,1,1,1
436,020051400,02000,0,0,1
437,020051600,02000,0,0,1
438,020051800,02000,0,0,1
439,020051900,02000,0,0,1
440,020052000,02000,0,0,1
441,020052100,02000,1,1,1
442,020052300,02000,0,0,1
443,020052400,02000,0,0,1
444,020052500,02000,1,0,1
445,020052600,02000,0,1,0
446,020052700,02000,0,1,1
447,020052800,02000,0,0,1
448,020053000,02000,0,0,1
449,020053100,02000,0,1,0
450,020053200,02000,1,0,1
451,020053300,02000,0,0,1
452,020053400,02000,1,1,1
453,020053500,02000,1,1,1
454,020053600,02000,0,1,1
455,020053601,02000,0,1,0
456,020053602,02000,1,0,0
459,020053900,02000,0,1,0
460,020054000,02000,0,0,1
461,020054100,02000,1,1,1
462,020054200,02000,1,0,0
463,020054300,02000,0,1,0
464,020054400,02000,0,0,1
465,020054500,02000,1,0,1
466,020054600,02000,0,0,1
471,020055400,02000,1,0,0
472,020055401,02000,1,0,0
473,020055402,02000,1,0,0
474,020055403,02000,1,0,0
475,020055404,02000,1,0,0
476,020055500,02000,0,1,0
477,020055600,02000,0,0,1
478,020055700,02000,0,0,1
479,020055800,02000,0,0,1
480,020055900,02000,1,0,0
481,020056000,02000,1,1,1
482,020056100,02000,1,1,1
483,020056200,02000,1,1,1
484,020056300,02000,0,1,0
485,020056400,02000,0,1,0
486,020056500,02000,1,1,1
487,020056600,02000,0,0,1
488,020056700,02000,0,0,1
489,020056800,02000,0,1,0
490,020057000,02000,0,0,1
491,020057100,02000,1,1,1
492,020057200,02000,1,1,1
493,020057500,02000,1,0,1
494,020057800,02000,0,0,1
495,020057900,02000,1,1,1
496,020058000,02000,1,0,0
497,020058001,02000,1,0,0
498,020058100,02000,0,0,1
499,020058200,02000,0,0,1
500,020058300,02000,0,1,0
501,020058400,02000,0,1,1
502,020058401,02000,0,1,0
503,020058500,02000,1,0,1
504,020058800,02000,1,1,1
505,020058900,02000,0,0,1
506,020059200,02000,0,0,1
507,020059300,02000,0,0,1
508,020059400,02000,1,1,1
509,020059500,02000,1,0,0
510,020059600,02000,0,0,1
511,020059800,02000,0,0,1
512,020059900,02000,0,0,1
513,020060000,02000,1,1,1
514,020060100,02000,0,0,1
515,020060200,02000,0,1,0
516,020060300,02000,0,1,0
517,020060500,02000,1,1,1
518,020060600,02000,1,0,0
519,020060700,02000,0,0,1
520,020061100,02000,0,1,0
521,020061200,02000,0,1,0
522,020061300,02000,1,1,1
523,020061400,02000,1,0,1
524,020061500,02000,0,0,1
525,020061600,02000,1,1,1
526,020061700,02000,1,0,0
527,020061701,02000,1,0,0
528,020061703,02000,1,0,0
529,020061704,02000,1,0,0
530,020061800,02000,0,0,1
531,020061900,02000,0,0,1
532,020062000,02000,1,1,1
533,020062100,02000,1,0,0
534,020062200,02000,0,1,0
535,020062300,02000,0,1,0
536,020062400,02000,1,1,1
538,020062800,02000,0,1,0
539,020062900,02000,0,0,1
540,020063000,02000,1,0,0
541,020063100,02000,0,0,1
542,020063200,02000,1,0,1
543,020063300,02000,1,1,1
544,020063500,02000,0,0,1
545,020063700,02000,0,1,0
546,020063800,02000,0,0,1
547,020063900,02000,1,0,0
548,020064100,02000,1,1,1
549,020064200,02000,1,0,1
550,020064300,02000,0,1,0
551,020064400,02000,0,0,1
552,020064500,02000,0,0,1
553,020064600,02000,0,0,1
554,020064700,02000,1,0,0
555,020064800,02000,0,0,1
556,020064900,02000,0,1,0
557,020065000,02000,0,1,1
559,020065200,02000,0,1,0
560,020065300,02000,1,1,1
561,020065400,02000,0,0,1
562,020065500,02000,1,1,1
563,020065600,02000,0,0,1
564,020065800,02000,1,1,1
565,020065900,02000,0,0,1
566,020066000,02000,0,0,1
567,020066100,02000,0,0,1
568,020066200,02000,0,0,1
569,020066300,02000,1,1,1
570,020066400,02000,1,1,1
571,020066600,02000,1,0,0
572,020066700,02000,0,0,1
573,020066800,02000,1,1,1
574,020066900,02000,0,0,1
575,020067000,02000,1,0,1
576,020067200,02000,1,1,1
577,020067300,02000,1,1,1
578,020067400,02000,1,1,1
579,020067500,02000,1,1,1
580,020067600,02000,1,1,1
581,020067700,02000,1,1,1
582,020067800,02000,0,0,1
583,020068000,02000,0,1,0
584,020068100,02000,0,0,1
585,020068300,02000,1,1,1
586,020068400,02000,1,1,1
587,020068500,02000,1,1,1
588,020068600,02000,1,1,1
589,020068700,02000,0,0,1
590,020068900,02000,0,0,1
591,020069000,02000,1,1,1
592,020069100,02000,1,1,1
593,020069200,02000,0,1,0
594,020069400,02000,0,0,1
595,020069500,02000,1,0,0
596,020069502,02000,1,0,0
597,020069504,02000,1,0,0
598,020069600,02000,1,1,1
601,020069900,02000,1,1,1
602,020070000,02000,1,1,1
603,020070100,02000,0,0,1
604,020070200,02000,1,0,0
605,020070300,02000,1,0,0
606,020070400,02000,0,1,0
607,020070500,02000,0,0,1
608,020070600,02000,1,0,0
609,020070601,02000,1,0,0
610,020070602,02000,1,0,0
611,020070603,02000,1,0,0
612,020070700,02000,0,0,1
613,020070800,02000,1,1,1
614,020070900,02000,1,0,0
615,020071000,02000,0,0,1
616,020071100,02000,0,0,1
617,020071300,02000,1,0,0
618,020071302,02000,1,0,0
619,020071303,02000,1,0,0
620,020071400,02000,0,0,1
621,020071500,02000,0,1,0
622,020071600,02000,1,1,1
623,020071700,02000,1,1,1
624,020071800,02000,1,1,1
625,020072000,02000,0,1,0
626,020072100,02000,1,1,1
628,020072300,02000,1,1,1
629,020072400,02000,0,1,0
630,020072600,02000,0,0,1
631,020072700,02000,0,0,1
632,020072800,02000,1,1,1
633,020072900,02000,1,1,1
634,020073000,02000,0,0,1
635,020073100,02000,0,0,1
636,020073200,02000,0,1,0
637,020073300,02000,1,1,1
638,020073500,02000,0,0,1
639,020073600,02000,1,0,1
640,020073700,02000,1,0,0
641,020073701,02000,1,0,0
642,020073702,02000,1,0,0
643,020073703,02000,1,0,0
644,020073800,02000,1,1,1
645,020073900,02000,1,1,1
646,020074000,02000,1,1,1
647,020074100,02000,1,0,1
648,020074200,02000,0,1,0
649,020074300,02000,0,0,1
650,020074400,02000,0,1,0
651,020074500,02000,0,0,1
652,020074600,02000,0,1,0
653,020074700,02000,1,1,1
654,020074800,02000,1,1,1
655,020074900,02000,1,1,1
657,020075100,02000,0,0,1
659,020075300,02000,1,1,1
660,020075500,02000,0,1,0
