OBJECTID;Entidad;Objeto;FNA;GNA;NAM;SAG;FDC;IN1;SHAPE_STAr;SHAPE_STLe
4862;0;Departamento;Departamento Río Grande;Departamento;Tolhuin;Gerencia de Catastro Pcial.;;94011;0,89168357649;6,26263526288
4863;0;Departamento;Departamento Capital;Departamento;Capital;Ministerio de Ecología;;54028;0,08884392948;1,85643003959
4864;0;Departamento;Departamento Candelaria;Departamento;Candelaria;Ministerio de Ecología;;54021;0,08394295270;1,91591967095
4865;0;Departamento;Departamento Cainguás;Departamento;Cainguás;Ministerio de Ecología;;54014;0,14099424015;3,04933723482
4866;0;Departamento;Departamento Libertador General San Martín;Departamento;Libertador General San Martín;Ministerio de Ecología;;54077;0,13284482649;2,14483344169
4867;0;Departamento;Departamento General Manuel Belgrano;Departamento;General Manuel Belgrano;Ministerio de Ecología;;54049;0,26963187378;4,04604399854
4868;0;Departamento;Departamento Guaraní;Departamento;Guaraní;Ministerio de Ecología;;54056;0,29808284631;4,02116566082
4869;0;Departamento;Departamento Iguazú;Departamento;Iguazú;Ministerio de Ecología;;54063;0,24686930258;3,07380412948
4870;0;Departamento;Departamento 25de Mayo;Departamento;25de Mayo;Ministerio de Ecología;;54119;0,15082446288;3,22247036864
4871;0;Departamento;Departamento Oberá;Departamento;Oberá;Ministerio de Ecología;;54091;0,14350868095;2,50984842193
4872;0;Departamento;Departamento San Ignacio;Departamento;San Ignacio;Ministerio de Ecología;;54098;0,15209873889;2,45278888086
4873;0;Departamento;Departamento Leandro N. Alem;Departamento;Leandro N. Alem;Ministerio de Ecología;;54070;0,09771838093;1,63850892215
4874;0;Departamento;Departamento San Javier;Departamento;San Javier;Ministerio de Ecología;;54105;0,05936753415;1,43130221085
4875;0;Departamento;Departamento Concepción;Departamento;Concepción;Ministerio de Ecología;;54035;0,07126780801;1,32378846120
4876;0;Departamento;Departamento Apóstoles;Departamento;Apóstoles;Ministerio de Ecología;;54007;0,09501525380;1,82113808024
4877;0;Departamento;Departamento 1ro. de Mayo;Departamento;1ro. de Mayo;IDE Chaco;;22126;0,11683008167;2,29567771300
4878;0;Departamento;Departamento 9 de Julio;Departamento;9 de Julio;IDE Chaco;;22105;0,19681223582;2,75394557687
4879;0;Departamento;Departamento San Fernando;Departamento;San Fernando;IDE Chaco;;22140;0,32517494587;2,54456205908
4880;0;Departamento;Departamento Valle viejo;Departamento;Valle viejo;IDE Catamarca;;10112;0,05630454043;1,38771928555
